Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,,,,,,,,,
Estaci�n: 46250050-Val�ncia - Bulevard Sud,,,,,,,,,,,,,,,,,,,

FECHA,NH3,SO2,NO,NO2,PM10,Ni,NOx,O3,As,Pb,BaP,Cd,FA,DahA,IcdP,BkFA,BjFA,BbFA,BaA
,�g/m�N,�g/m�,�g/m�,�g/m�,�g/m�,ng/m�N,�g/m�,�g/m�,ng/m�N,�g/m�,ng/m�N,ng/m�N,ng/m�N,ng/m�N,ng/m�N,ng/m�N,ng/m�N,ng/m�N,ng/m�N
01/01/2022,,,,,39,,,,,,"0,62",,"0,2","0,21","0,88","0,7","0,44","0,99","0,24"
02/01/2022,,5,,,39,"2,56",,13,"0,58","0,01",,"0,16",,,,,,,
03/01/2022,,6,,,53,,,14,,,,,,,,,,,
04/01/2022,,,,,26,"2,8",,,"0,19","0,01",,"0,04",,,,,,,
05/01/2022,2,3,4,26,26,,32,56,,,"0,04",,"0,1","0,04","0,11","0,09","0,04","0,14","0,08"
06/01/2022,2,5,6,18,20,"1,27",27,50,"0,06","0,01",,"0,1",,,,,,,
07/01/2022,2,5,4,22,22,,27,45,,,,,,,,,,,
08/01/2022,2,4,2,14,16,"1,13",18,52,"0,06","0,01",,"0,04",,,,,,,
09/01/2022,2,4,1,8,15,,10,56,,,"0,04",,"0,09","0,04","0,1","0,07","0,04","0,11","0,04"
10/01/2022,3,3,1,14,20,"2,79",16,49,"0,06","0,01",,"0,01",,,,,,,
11/01/2022,3,3,2,20,19,,24,47,,,,,,,,,,,
12/01/2022,3,5,8,27,21,"2,55",40,26,"0,28","0,01",,"0,84",,,,,,,
13/01/2022,3,5,,,25,,,32,,,"0,28",,"0,23","0,07","0,36","0,34","0,18","0,42","0,2"
14/01/2022,2,5,9,27,27,"2,13",41,30,"0,42","0,01",,"0,13",,,,,,,
15/01/2022,2,6,4,21,24,,27,37,,,,,,,,,,,
16/01/2022,2,5,2,19,24,"2,44",22,37,"0,71","0,01",,"0,13",,,,,,,
17/01/2022,2,6,13,28,45,,48,29,,,,,,,,,,,
18/01/2022,3,7,,,45,"5,31",,25,"0,47","0,01",,"0,21",,,,,,,
19/01/2022,3,6,9,31,38,,45,32,,,,,,,,,,,
20/01/2022,4,6,,,40,"4,48",,24,"0,47","0,01",,"0,2",,,,,,,
21/01/2022,4,6,,,32,,,28,,,"0,39",,"0,25","0,1","0,63","0,5","0,27","0,6","0,19"
22/01/2022,4,5,,,38,"5,72",,30,"0,47","0,01",,"0,1",,,,,,,
23/01/2022,3,4,,,26,,,39,,,,,,,,,,,
24/01/2022,3,4,,,21,"1,79",,35,"0,33","0,01",,"0,02",,,,,,,
25/01/2022,3,4,,,24,,,46,,,,,,,,,,,
26/01/2022,4,5,38,53,33,"6,8",111,31,"0,35","0,01",,"0,23",,,,,,,
27/01/2022,5,7,52,58,37,,138,19,,,,,,,,,,,
28/01/2022,4,7,35,57,39,"2,91",110,24,"0,49","0,01",,"0,51",,,,,,,
29/01/2022,4,6,25,51,41,,89,24,,,"0,34",,"0,4","0,14","0,59","0,74","0,42","1,1","0,44"
30/01/2022,4,6,26,48,43,"4,3",88,25,"0,21","0,01",,"0,22",,,,,,,
31/01/2022,4,5,24,45,43,,81,33,,,,,,,,,,,
01/02/2022,4,4,29,50,,,94,41,,,,,,,,,,,
02/02/2022,5,6,44,59,55,,127,22,,,,,,,,,,,
03/02/2022,5,5,55,60,50,"1,95",145,18,"0,18","0,01",,"0,29",,,,,,,
04/02/2022,5,6,55,57,58,,141,23,,,,,,,,,,,
05/02/2022,4,3,22,39,42,"4,17",73,24,"0,6","0,01",,"0,67",,,,,,,
06/02/2022,3,3,8,25,27,,36,38,,,"0,12",,"0,16","0,04","0,27","0,24","0,12","0,31","0,04"
07/02/2022,4,5,34,43,37,"2,92",95,30,"0,32","0,01",,"0,63",,,,,,,
08/02/2022,4,6,29,50,42,,94,28,,,,,,,,,,,
09/02/2022,4,4,20,45,32,"4,72",75,34,"1,01","0,01",,"0,39",,,,,,,
10/02/2022,3,4,17,34,28,,60,40,,,,,,,,,,,
11/02/2022,4,5,32,54,43,"4,31",102,27,"0,6","0,01",,"0,31",,,,,,,
12/02/2022,3,4,11,31,38,,48,45,,,,,,,,,,,
13/02/2022,3,3,10,29,34,"3,47",45,37,"0,32","0,01",,"0,32",,,,,,,
14/02/2022,5,3,5,31,21,,38,59,,,"0,07",,"0,08","0,04","0,09","0,08","0,04","0,12","0,04"
15/02/2022,2,4,7,43,16,"2,28",54,52,"0,14","0,01",,"0,08",,,,,,,
16/02/2022,3,3,5,36,18,,44,50,,,,,,,,,,,
17/02/2022,6,3,10,36,26,"3,67",51,43,"0,28","0,01",,"0,05",,,,,,,
18/02/2022,7,5,,,44,,,34,,,,,,,,,,,
19/02/2022,8,3,4,26,24,"2,28",32,59,"0,28","0,01",,"0,05",,,,,,,
20/02/2022,5,3,5,19,17,,27,52,,,,,,,,,,,
21/02/2022,4,4,3,19,31,"7,27",24,48,"0,42","0,01",,"0,08",,,,,,,
22/02/2022,4,5,19,39,39,,68,37,,,"0,13",,"0,2","0,04","0,26","0,28","0,16","0,42","0,11"
23/02/2022,,5,,,55,"9,49",,33,"0,83","0,01",,"0,44",,,,,,,
24/02/2022,,4,,,29,,,39,,,,,,,,,,,
25/02/2022,,3,,,26,"2,82",,32,"0,42","0,01",,"0,06",,,,,,,
26/02/2022,4,3,10,18,28,,33,42,,,,,,,,,,,
27/02/2022,2,4,7,17,39,"5,61",27,45,"0,7","0,01",,"0,21",,,,,,,
28/02/2022,9,4,22,41,33,,74,40,,,,,,,,,,,
01/03/2022,10,4,29,46,39,"3,38",90,40,"0,42","0,01",,"0,14",,,,,,,
02/03/2022,3,5,20,45,54,,74,40,,,"0,13",,"0,13","0,04","0,18","0,16","0,09","0,24","0,08"
03/03/2022,7,4,19,47,22,"2,12",75,40,"0,42","0,01",,"0,12",,,,,,,
04/03/2022,3,3,9,37,23,,51,47,,,,,,,,,,,
05/03/2022,3,3,7,31,24,"3,24",42,49,"0,14","0,02",,"0,03",,,,,,,
06/03/2022,2,3,5,21,11,,29,64,,,,,,,,,,,
07/03/2022,2,3,10,36,15,"0,46",51,45,"0,28","0,01",,"0,09",,,,,,,
08/03/2022,2,4,22,36,,,70,31,,,,,,,,,,,
09/03/2022,3,5,27,36,34,"3,17",77,33,"0,69","0,01",,"0,17",,,,,,,
10/03/2022,4,3,8,20,25,,33,59,,,"0,07",,"0,09","0,04","0,12","0,13","0,08","0,22","0,04"
11/03/2022,4,3,14,27,47,"8,86",49,45,"0,56","0,01",,"0,43",,,,,,,
12/03/2022,3,3,4,10,17,"1,08",16,59,"0,14","0,01",,"0,07",,,,,,,
13/03/2022,3,3,4,15,25,"2,47",21,51,"0,28","0,01",,"0,11",,,,,,,
14/03/2022,4,3,3,6,25,,10,78,,,"0,04",,"0,04","0,04","0,04","0,04","0,04","0,04","0,04"
15/03/2022,4,3,2,4,58,,7,83,,,,,,,,,,,
16/03/2022,6,3,3,11,34,"1,08",16,77,"0,28","0,01",,"0,14",,,,,,,
17/03/2022,5,3,3,10,25,"4,69",14,72,"0,28","0,01",,"0,13",,,,,,,
18/03/2022,5,3,3,10,34,,15,65,,,"0,04",,"0,09","0,04","0,09","0,04","0,04","0,09","0,04"
19/03/2022,5,3,2,13,59,,16,72,,,,,,,,,,,
20/03/2022,5,3,2,9,34,"1,08",12,78,"0,28","0,01",,"0,13",,,,,,,
21/03/2022,6,3,8,18,28,"2,61",30,75,"0,14","0,01",,"0,1",,,,,,,
22/03/2022,4,3,3,11,25,"1,5",15,87,"0,14","0,01",,"0,06",,,,,,,
23/03/2022,4,3,3,12,21,,17,90,,,,,,,,,,,
24/03/2022,3,3,3,15,13,"0,53",18,83,"0,28","0,01",,"0,1",,,,,,,
25/03/2022,4,3,2,13,27,"1,22",17,91,"0,56","0,01",,"0,17",,,,,,,
26/03/2022,4,3,2,8,24,,10,101,,,"0,08",,"0,12","0,04","0,09","0,04","0,04","0,08","0,04"
27/03/2022,4,3,2,17,40,"5,53",20,80,"0,56","0,01",,"0,15",,,,,,,
28/03/2022,4,3,9,26,47,,40,56,,,,,,,,,,,
29/03/2022,5,3,11,27,58,"3,68",44,52,"0,83","0,01",,"0,37",,,,,,,
30/03/2022,6,3,9,22,52,,35,55,,,,,,,,,,,
31/03/2022,5,3,5,19,17,"0,9",27,58,"0,28","0,01",,"0,05",,,,,,,
01/04/2022,3,3,3,12,14,,16,72,,,,,,,,,,,
02/04/2022,3,4,1,10,11,"0,21",11,78,"0,14","0,01",,"0,03",,,,,,,
03/04/2022,3,4,2,9,12,,11,81,,,"0,04",,"0,04","0,04","0,08","0,04","0,04","0,09","0,04"
04/04/2022,4,3,3,12,24,"2,71",16,79,"0,28","0,01",,"0,08",,,,,,,
05/04/2022,5,3,4,19,26,,25,82,,,,,,,,,,,
06/04/2022,4,3,2,15,14,"1,18",18,68,"0,14","0,01",,"0,09",,,,,,,
07/04/2022,5,3,1,10,15,,12,67,,,,,,,,,,,
08/04/2022,5,3,2,10,15,"1,04",13,58,"0,14","0,01",,"0,01",,,,,,,
09/04/2022,5,3,1,8,17,,10,63,,,,,,,,,,,
10/04/2022,5,3,2,13,26,"2,99",15,62,"0,42","0,01",,"0,1",,,,,,,
11/04/2022,5,3,10,17,36,,33,59,,,"0,04",,"0,04","0,04","0,09","0,04","0,04","0,12","0,04"
12/04/2022,6,3,7,26,35,"1,5",36,54,"0,42","0,01",,"0,14",,,,,,,
13/04/2022,6,3,8,22,19,,34,57,,,,,,,,,,,
14/04/2022,5,3,2,13,21,"1,08",15,81,"0,28","0,01",,"0,07",,,,,,,
15/04/2022,5,3,2,17,20,,19,70,,,,,,,,,,,
16/04/2022,6,3,3,22,31,"2,89",26,59,"0,42","0,01",,"0,06",,,,,,,
17/04/2022,7,3,2,15,28,,18,66,,,,,,,,,,,
18/04/2022,8,3,2,14,28,"4,83",17,74,"0,42","0,01",,"0,11",,,,,,,
19/04/2022,7,3,3,15,22,,19,82,,,"0,04",,"0,04","0,04","0,04","0,04","0,04","0,04","0,04"
20/04/2022,5,3,2,18,13,"0,6",21,58,"0,28","0,01",,"0,2",,,,,,,
21/04/2022,5,3,5,22,16,,30,62,,,,,,,,,,,
22/04/2022,5,3,3,20,22,"1,43",24,52,"0,42","0,01",,"0,03",,,,,,,
23/04/2022,4,3,1,2,9,,4,79,,,,,,,,,,,
24/04/2022,4,3,1,5,9,"1,15",7,78,"0,14","0,01",,"0,01",,,,,,,
25/04/2022,4,3,4,19,27,,25,60,,,,,,,,,,,
26/04/2022,5,3,6,27,39,"12,64",36,54,"0,4","0,01",,"0,12",,,,,,,
27/04/2022,5,3,9,42,56,,56,25,,,"0,11",,"0,11","0,08","0,3","0,27","0,13","0,38","0,04"
28/04/2022,6,3,5,27,47,"5,69",34,44,"0,68","0,01",,"0,17",,,,,,,
29/04/2022,7,3,7,24,,,34,51,,,,,,,,,,,
30/04/2022,7,3,2,25,,,28,51,,,,,,,,,,,
01/05/2022,8,3,3,17,,,22,52,,,,,,,,,,,
02/05/2022,7,6,8,24,,,36,54,,,,,,,,,,,
04/05/2022,6,4,5,23,,,30,58,,,,,,,,,,,
05/05/2022,7,6,6,23,32,,32,56,,,"0,08",,"0,08","0,04","0,13","0,16","0,08","0,21","0,04"
06/05/2022,6,5,8,27,24,"1,94",39,51,"0,4","0,01",,"0,12",,,,,,,
07/05/2022,6,5,2,17,21,,21,62,,,,,,,,,,,
08/05/2022,6,6,2,14,21,"2,78",18,74,"0,26","0,01",,"0,07",,,,,,,
09/05/2022,6,7,7,27,27,,38,67,,,,,,,,,,,
10/05/2022,6,5,7,26,30,"2,47",36,67,"0,17","0,01",,"0,07",,,,,,,
11/05/2022,6,4,7,23,28,,34,63,,,,,,,,,,,
12/05/2022,7,5,4,23,32,"4,14",30,63,"0,31","0,01",,"0,09",,,,,,,
13/05/2022,6,6,9,27,29,,41,47,,,"0,04",,"0,04","0,04","0,04","0,04","0,04","0,04","0,04"
14/05/2022,7,6,4,22,28,"3,31",29,59,"0,17","0,01",,"0,07",,,,,,,
15/05/2022,7,5,2,15,20,,17,74,,,,,,,,,,,
16/05/2022,8,6,8,29,,,42,57,,,,,,,,,,,
17/05/2022,8,5,10,29,,,44,59,,,,,,,,,,,
18/05/2022,9,5,9,22,40,"5,94",36,66,"0,31","0,01",,"0,09",,,,,,,
19/05/2022,9,5,8,19,36,,31,61,,,,,,,,,,,
20/05/2022,8,5,5,27,30,"3,31",36,56,"0,03","0,01",,"0,09",,,,,,,
21/05/2022,7,6,5,26,0,,32,54,,,0,,0,0,0,0,0,0,0
22/05/2022,8,5,2,17,25,"2,61",20,72,"0,03","0,01",,"0,06",,,,,,,
23/05/2022,9,,3,17,25,,22,67,,,,,,,,,,,
24/05/2022,6,3,2,12,,,15,77,,,,,,,,,,,
25/05/2022,5,4,3,16,,,21,59,,,,,,,,,,,
26/05/2022,5,4,6,21,,,29,56,,,,,,,,,,,
27/05/2022,6,7,8,26,30,,38,56,,,,,,,,,,,
28/05/2022,8,6,3,22,,,26,67,,,,,,,,,,,
29/05/2022,7,6,2,11,,,14,79,,,,,,,,,,,
30/05/2022,8,5,6,17,,,26,73,,,,,,,,,,,
31/05/2022,8,4,9,22,30,,36,77,,,,,,,,,,,
01/06/2022,8,6,5,19,,,26,82,,,,,,,,,,,
02/06/2022,8,5,3,15,30,,19,88,,,,,,,,,,,
03/06/2022,7,3,3,12,,,16,92,,,,,,,,,,,
04/06/2022,6,5,2,15,25,,18,77,,,,,,,,,,,
05/06/2022,8,,3,13,,,17,63,,,,,,,,,,,
06/06/2022,5,,5,18,,,26,,,,,,,,,,,,
07/06/2022,7,4,6,17,,,27,,,,,,,,,,,,
08/06/2022,7,4,4,23,42,,29,,,,,,,,,,,,
