Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,PM2.5,CO,NO,NO2,PM10,NOx,O3,Veloc.,Direc.,SO2
,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,m/s,grados,�g/m�
01/01/2020,34,"0,2",9,29,37,44,19,"0,4",328,4
02/01/2020,32,"0,2",18,36,34,63,16,"0,5",284,4
03/01/2020,40,"0,3",32,35,43,85,12,"0,5",40,4
04/01/2020,25,"0,3",14,34,27,56,19,"0,5",245,5
05/01/2020,13,"0,2",6,29,14,39,22,"0,5",232,3
06/01/2020,18,"0,2",10,31,20,47,27,"0,4",1,4
07/01/2020,30,"0,3",33,44,32,94,13,"0,4",253,4
08/01/2020,35,"0,3",59,42,38,132,12,"0,5",243,5
09/01/2020,29,"0,2",22,40,32,73,18,"0,5",229,5
10/01/2020,21,"0,2",14,36,24,58,26,"1,6",341,4
11/01/2020,9,"0,2",15,31,10,55,35,"0,4",277,4
12/01/2020,14,"0,2",9,29,15,44,30,"0,4",230,4
13/01/2020,24,"0,3",47,47,26,119,17,"0,7",233,5
14/01/2020,25,"0,2",48,53,28,127,17,"0,5",217,6
15/01/2020,24,"0,2",24,48,27,85,21,"0,6",240,4
16/01/2020,29,"0,1",70,61,32,168,13,"0,4",258,7
17/01/2020,11,"0,1",10,43,14,59,31,"1,2",248,4
18/01/2020,6,"0,2",6,38,6,47,30,"0,8",249,4
19/01/2020,3,"0,3",1,10,3,12,60,"5,3",25,5
20/01/2020,3,"0,2",1,6,3,8,59,"9,8",48,4
21/01/2020,,"0,1",2,23,,27,44,"3,8",54,4
22/01/2020,,"0,1",1,22,,24,47,2,16,5
23/01/2020,,"0,1",13,25,,45,28,"0,6",84,3
24/01/2020,,"0,2",13,43,,63,21,"0,3",38,5
25/01/2020,,"0,1",2,29,,32,32,"0,7",28,4
26/01/2020,,"0,2",5,32,,40,22,"0,6",247,6
27/01/2020,8,"0,1",1,18,17,20,44,"1,3",240,4
28/01/2020,7,"0,1",1,17,14,20,46,"1,3",240,4
29/01/2020,5,"0,1",2,21,11,24,38,1,260,3
30/01/2020,7,"0,1",2,20,16,23,41,"0,9",247,4
31/01/2020,8,"0,1",2,22,17,25,38,"0,7",253,5
01/02/2020,5,"0,1",1,20,8,22,32,"0,6",251,3
02/02/2020,7,"0,1",4,18,10,24,30,"0,8",239,4
03/02/2020,,"0,1",29,38,,84,15,"0,6",231,5
04/02/2020,,"0,1",9,34,,47,21,"0,7",252,5
05/02/2020,,,1,15,,17,64,"1,7",79,5
06/02/2020,,,7,24,,34,45,"0,7",149,5
07/02/2020,,,20,44,,75,22,"0,5",65,
08/02/2020,10,,11,30,12,48,29,"0,9",151,
09/02/2020,10,,5,33,11,40,29,"0,8",158,
10/02/2020,3,"0,1",5,21,5,28,39,"1,1",235,
11/02/2020,6,"0,1",8,34,11,45,23,"0,8",201,
12/02/2020,9,"0,2",15,30,12,53,32,"1,3",29,
13/02/2020,22,,11,37,25,54,23,"0,8",98,
14/02/2020,15,,12,39,28,58,17,"0,9",175,
15/02/2020,20,,9,26,26,39,32,"1,2",97,6
16/02/2020,46,,2,23,56,26,35,"0,8",69,5
17/02/2020,49,,15,31,66,53,32,"1,5",101,5
18/02/2020,11,,2,21,14,23,48,"1,1",47,3
19/02/2020,5,,4,23,7,29,45,1,131,4
20/02/2020,14,,12,31,21,50,27,"1,1",155,
21/02/2020,24,,22,34,36,68,28,"0,7",198,
22/02/2020,23,,5,31,30,40,35,"0,8",162,
23/02/2020,19,,5,31,25,38,38,"0,5",218,
24/02/2020,16,,17,45,33,71,27,"0,9",165,
25/02/2020,15,,5,40,40,49,29,"0,9",245,
26/02/2020,6,,6,35,29,44,35,"0,7",298,
27/02/2020,12,,4,27,75,33,39,"1,1",254,
28/02/2020,25,"0,1",4,22,209,29,43,"1,5",326,4
29/02/2020,16,"0,1",1,14,114,17,51,"1,6",247,4
01/03/2020,4,"0,1",1,5,11,7,72,"1,8",250,5
02/03/2020,5,"0,2",1,9,44,11,75,"2,9",261,4
03/03/2020,4,"0,1",1,8,14,10,62,"1,9",245,4
04/03/2020,3,"0,1",2,14,9,17,45,"1,5",248,4
05/03/2020,4,"0,1",1,13,14,15,54,2,248,4
06/03/2020,3,"0,1",1,8,14,10,73,"2,3",289,3
07/03/2020,5,"0,1",2,15,10,18,65,"1,5",294,4
08/03/2020,5,"0,1",3,22,9,27,47,"1,4",185,4
09/03/2020,5,"0,1",6,25,15,35,46,"1,1",315,4
10/03/2020,6,"0,1",5,32,16,40,44,"0,7",197,3
11/03/2020,11,"0,1",18,44,22,71,30,1,189,4
12/03/2020,14,"0,1",10,30,21,45,46,"1,1",43,4
13/03/2020,13,"0,1",2,15,19,18,66,"1,6",42,5
14/03/2020,8,"0,1",3,19,11,25,39,1,122,4
15/03/2020,6,"0,1",1,6,8,8,69,"1,6",80,3
16/03/2020,4,"0,1",1,10,4,12,67,2,209,4
17/03/2020,7,"0,1",3,11,10,16,47,"3,1",22,4
18/03/2020,8,"0,2",1,8,12,10,66,"1,9",53,3
19/03/2020,10,"0,1",1,5,14,7,68,"1,9",46,3
20/03/2020,7,"0,1",1,5,9,7,80,"2,6",55,3
21/03/2020,7,"0,1",1,3,10,5,84,1,39,3
22/03/2020,6,"0,2",1,2,7,4,76,"1,8",45,4
23/03/2020,4,"0,1",1,5,6,8,67,"2,7",56,4
24/03/2020,7,"0,1",1,1,11,2,89,"6,4",57,4
25/03/2020,5,"0,1",1,6,6,7,66,"1,1",29,4
26/03/2020,9,"0,1",3,8,14,13,60,"1,6",33,4
27/03/2020,6,"0,1",1,10,8,12,67,"0,9",18,3
28/03/2020,8,"0,1",1,4,11,6,73,"1,1",322,4
29/03/2020,7,"0,1",1,4,10,6,64,"1,4",230,3
30/03/2020,8,"0,1",1,2,12,4,76,"2,8",65,4
31/03/2020,4,"0,2",1,5,5,7,57,"2,1",31,4
01/04/2020,2,"0,1",1,7,3,9,72,"2,1",62,3
02/04/2020,3,"0,1",1,3,4,4,80,"1,9",52,4
03/04/2020,5,"0,1",2,7,7,11,65,"1,7",167,3
04/04/2020,6,"0,1",1,7,7,8,71,"1,5",104,3
05/04/2020,5,"0,1",1,3,7,5,88,"1,3",74,3
06/04/2020,7,"0,1",1,6,9,9,80,"1,4",61,4
07/04/2020,6,"0,2",1,3,8,4,96,"1,4",66,4
08/04/2020,9,"0,1",1,7,13,9,83,"1,5",43,4
09/04/2020,8,"0,1",1,7,13,9,86,"1,1",39,3
10/04/2020,14,"0,1",1,7,20,9,76,"0,7",112,3
11/04/2020,11,"0,1",1,7,15,9,76,"1,4",81,3
12/04/2020,9,"0,1",1,2,12,3,99,"1,6",48,3
13/04/2020,9,"0,1",1,2,12,3,102,"1,9",93,4
14/04/2020,5,"0,2",1,3,7,4,89,"2,4",71,4
15/04/2020,13,"0,2",1,7,18,9,58,"1,1",34,3
16/04/2020,12,"0,1",3,10,17,15,64,"0,9",48,4
17/04/2020,13,"0,1",2,12,17,16,60,"0,8",93,4
18/04/2020,15,"0,1",3,9,18,14,51,"1,3",47,4
19/04/2020,4,"0,1",2,4,5,7,62,"0,7",25,4
20/04/2020,5,"0,1",2,9,6,13,50,"1,1",221,4
21/04/2020,3,"0,1",2,10,5,13,59,"0,7",263,5
22/04/2020,3,"0,1",2,7,5,10,65,"1,2",56,4
23/04/2020,7,"0,1",3,11,11,15,75,"1,2",113,3
24/04/2020,9,"0,1",3,12,12,16,73,"1,1",68,4
25/04/2020,8,"0,1",2,8,10,11,78,"0,9",264,4
26/04/2020,9,"0,1",2,8,10,11,63,"0,9",104,3
27/04/2020,9,"0,1",6,10,13,20,53,"0,9",233,4
28/04/2020,4,"0,1",2,4,7,7,72,"1,6",244,4
29/04/2020,4,"0,1",2,5,7,9,72,"1,3",244,3
30/04/2020,3,"0,1",2,4,7,7,72,"1,7",247,4
01/05/2020,3,"0,1",2,1,5,4,61,"1,7",244,4
02/05/2020,3,"0,1",2,6,6,10,50,"1,2",234,3
03/05/2020,5,"0,1",3,12,8,17,55,"1,2",81,3
04/05/2020,7,"0,2",2,8,9,11,64,"1,2",65,4
05/05/2020,9,"0,1",6,15,14,24,49,1,92,4
06/05/2020,7,"0,1",4,14,12,20,53,"1,1",73,3
07/05/2020,8,"0,2",3,11,11,16,65,"1,5",54,4
08/05/2020,5,"0,1",2,6,8,9,75,"2,1",68,4
09/05/2020,8,"0,1",2,5,11,8,74,"1,4",79,3
10/05/2020,5,"0,1",2,2,8,5,69,"1,6",257,4
11/05/2020,3,"0,1",2,4,6,7,70,2,247,5
12/05/2020,4,"0,1",2,8,7,12,65,"1,8",36,4
13/05/2020,3,"0,1",2,8,5,11,79,"1,3",234,3
14/05/2020,3,"0,1",2,8,4,11,74,"1,4",257,3
15/05/2020,3,"0,1",4,10,5,16,60,"1,2",38,4
16/05/2020,5,"0,1",2,8,7,12,61,"0,9",63,4
17/05/2020,5,"0,1",2,7,6,10,68,"1,2",66,3
18/05/2020,6,"0,1",3,13,9,17,57,"1,4",36,4
19/05/2020,7,"0,1",3,18,19,22,72,"1,1",114,4
20/05/2020,8,"0,1",3,15,13,19,76,"1,2",63,3
21/05/2020,9,"0,2",5,20,18,27,76,"1,2",78,5
22/05/2020,7,"0,2",4,17,15,22,80,"1,4",82,5
23/05/2020,6,"0,2",2,11,11,14,83,"1,8",74,4
24/05/2020,4,"0,2",2,4,7,7,76,"2,6",72,4
25/05/2020,4,"0,2",2,12,8,15,62,1,80,4
26/05/2020,6,"0,2",2,8,9,11,75,1,63,3
27/05/2020,7,"0,1",2,8,14,12,89,"2,1",54,4
28/05/2020,5,"0,1",2,6,8,9,89,"1,6",82,4
29/05/2020,6,"0,1",3,12,16,15,84,"1,4",157,5
30/05/2020,4,"0,1",2,6,7,8,88,"1,8",71,4
31/05/2020,4,"0,1",2,4,6,7,91,2,73,4
01/06/2020,5,"0,1",3,10,11,13,82,"1,6",94,4
02/06/2020,4,"0,1",2,9,7,12,82,"1,5",73,3
03/06/2020,8,"0,2",2,15,15,18,79,2,100,4
04/06/2020,7,"0,1",2,14,16,17,62,1,250,3
05/06/2020,4,"0,1",3,12,8,16,75,"1,8",146,3
06/06/2020,7,"0,2",2,12,13,15,78,"1,8",97,4
07/06/2020,5,"0,1",2,4,7,7,72,"3,3",76,4
08/06/2020,3,,2,9,4,12,44,"0,7",85,3
09/06/2020,4,"0,2",2,9,7,12,63,2,81,3
10/06/2020,5,"0,2",2,9,9,12,69,"1,7",59,5
11/06/2020,6,"0,1",2,12,27,15,70,"1,3",254,4
12/06/2020,4,"0,1",2,4,27,7,68,"1,9",253,3
13/06/2020,4,"0,1",2,3,12,6,79,"1,5",239,3
14/06/2020,5,"0,1",2,9,11,12,76,"1,7",113,3
15/06/2020,5,"0,2",2,10,12,14,70,"1,8",57,3
16/06/2020,5,"0,2",2,8,9,11,68,"2,2",67,3
17/06/2020,4,"0,2",2,9,7,12,68,"2,4",105,3
18/06/2020,4,"0,2",2,6,7,8,71,"2,7",69,3
19/06/2020,4,"0,2",2,7,5,10,63,"2,1",71,3
20/06/2020,5,"0,2",2,6,6,9,56,"1,9",75,3
21/06/2020,5,"0,2",2,6,6,9,,"1,2",83,3
22/06/2020,4,"0,2",2,13,6,16,,"1,9",103,4
23/06/2020,4,"0,2",2,8,6,11,,"2,1",75,3
24/06/2020,4,"0,1",2,8,5,11,,"1,4",87,3
25/06/2020,4,"0,2",3,12,9,16,50,"1,5",69,3
26/06/2020,3,,2,10,6,12,61,"1,5",72,4
27/06/2020,4,,2,8,7,10,61,"1,7",87,4
28/06/2020,5,,2,6,7,8,,"1,6",69,5
29/06/2020,7,,1,7,12,9,,"1,7",94,4
30/06/2020,6,,1,6,11,7,,"1,5",59,4
01/07/2020,6,,2,9,15,12,,"1,7",59,4
02/07/2020,,,1,12,,13,,"1,8",62,4
03/07/2020,,"0,1",1,9,,10,61,"2,8",92,3
04/07/2020,,"0,1",1,6,,7,59,"1,9",85,3
05/07/2020,,"0,1",1,7,,7,63,2,110,3
06/07/2020,3,"0,1",3,16,6,20,58,"1,1",105,4
07/07/2020,2,"0,1",1,11,8,12,59,"2,2",74,4
08/07/2020,3,"0,1",1,11,4,11,58,"1,4",92,4
09/07/2020,6,"0,1",2,13,8,15,62,"1,3",73,3
10/07/2020,9,"0,1",1,11,14,11,80,"1,5",71,4
11/07/2020,11,"0,1",1,6,17,7,71,"2,1",57,3
12/07/2020,10,"0,1",1,8,14,8,62,"1,6",49,3
13/07/2020,9,"0,1",4,13,14,18,59,"1,3",74,3
14/07/2020,9,"0,2",1,15,13,16,68,"1,2",47,
15/07/2020,8,"0,2",2,16,12,18,72,"1,4",98,
16/07/2020,7,"0,1",1,10,10,11,85,"1,6",97,3
17/07/2020,7,"0,1",1,9,10,10,67,"1,7",95,3
18/07/2020,8,"0,2",1,8,12,9,56,"1,8",84,3
19/07/2020,9,"0,1",1,8,13,8,66,"2,1",69,4
20/07/2020,8,"0,1",1,8,12,9,67,"1,4",61,3
21/07/2020,7,"0,1",1,7,11,8,59,"1,4",64,3
22/07/2020,7,"0,1",2,15,11,17,53,"1,2",38,3
23/07/2020,7,"0,2",3,21,11,24,60,"1,1",159,4
24/07/2020,7,"0,2",1,14,11,15,73,"2,2",56,3
25/07/2020,6,"0,1",1,8,10,9,77,"1,6",68,4
26/07/2020,7,"0,1",1,7,11,7,75,"1,5",59,5
27/07/2020,8,"0,1",1,13,12,14,,"1,3",63,4
28/07/2020,6,"0,1",2,17,13,19,71,"1,8",59,3
29/07/2020,7,"0,1",1,11,17,12,65,"2,3",60,3
30/07/2020,6,"0,1",3,16,12,20,59,"1,2",67,3
31/07/2020,6,"0,1",2,21,13,23,62,"1,2",90,3
01/08/2020,8,"0,2",2,17,14,20,69,"1,6",78,3
02/08/2020,7,"0,2",1,12,13,13,64,"1,7",85,3
03/08/2020,4,"0,1",1,7,12,8,57,2,85,3
04/08/2020,3,"0,1",2,11,9,13,52,2,93,4
05/08/2020,3,"0,2",1,7,7,8,60,"2,2",95,3
06/08/2020,2,"0,1",1,7,5,8,63,"1,6",90,3
07/08/2020,3,"0,1",3,14,9,18,66,"1,6",73,3
08/08/2020,2,"0,1",1,10,6,11,76,"1,5",81,3
09/08/2020,3,"0,1",1,9,6,10,74,"1,7",70,3
10/08/2020,4,"0,1",3,13,8,17,72,"1,4",78,3
11/08/2020,4,"0,1",1,10,11,11,72,"1,9",52,3
12/08/2020,5,"0,1",1,14,13,15,80,"1,4",12,3
13/08/2020,6,"0,1",3,16,17,19,68,"1,6",96,3
14/08/2020,7,"0,1",1,10,13,10,72,"1,7",78,3
15/08/2020,6,"0,1",1,9,12,10,68,"1,1",67,3
16/08/2020,4,"0,1",2,14,11,16,64,"1,6",133,3
17/08/2020,4,"0,1",3,13,11,16,72,"1,5",61,4
18/08/2020,4,"0,1",2,12,10,14,62,"1,2",48,3
19/08/2020,4,"0,1",2,15,12,18,62,"1,5",80,3
20/08/2020,3,"0,1",1,11,9,12,76,"1,4",54,4
21/08/2020,4,"0,2",1,10,10,11,74,"1,2",51,3
22/08/2020,6,"0,2",1,9,11,10,60,"1,2",56,3
23/08/2020,5,"0,2",1,9,11,10,57,"1,8",74,3
24/08/2020,4,"0,1",1,10,8,11,60,"1,9",91,3
25/08/2020,4,"0,1",1,9,9,10,63,"1,7",78,3
26/08/2020,4,"0,2",1,10,8,11,59,"1,3",76,3
27/08/2020,4,"0,2",2,13,10,15,62,"1,5",64,4
28/08/2020,5,"0,1",1,10,9,11,67,"1,7",55,4
29/08/2020,3,"0,1",1,6,11,7,51,"2,4",56,4
30/08/2020,1,"0,1",1,3,2,4,65,"1,4",60,4
31/08/2020,1,"0,1",1,10,6,11,57,"1,5",106,4
01/09/2020,2,"0,1",2,13,8,15,57,"0,9",156,4
02/09/2020,2,"0,2",1,10,7,11,66,"1,6",69,4
03/09/2020,2,"0,1",1,13,10,14,65,"1,5",68,4
04/09/2020,2,"0,2",2,14,8,16,71,"1,1",140,3
05/09/2020,3,"0,1",1,8,5,9,76,"1,1",92,3
06/09/2020,3,"0,1",1,8,4,9,72,"1,2",127,3
07/09/2020,3,"0,1",1,7,13,7,65,"2,8",63,3
08/09/2020,2,"0,1",2,10,6,12,60,"0,9",49,3
09/09/2020,3,"0,1",2,13,8,14,74,"1,2",34,4
10/09/2020,4,"0,2",3,17,7,21,68,"0,9",104,4
11/09/2020,5,"0,2",3,19,11,24,72,"1,6",65,4
12/09/2020,4,"0,2",1,13,8,14,83,"1,4",56,3
13/09/2020,4,"0,2",1,11,8,11,77,"0,8",70,3
14/09/2020,4,"0,1",4,20,13,26,70,1,101,4
15/09/2020,6,"0,2",1,18,11,20,66,"0,9",78,5
16/09/2020,10,"0,2",3,17,15,21,65,"1,1",59,4
17/09/2020,10,"0,2",4,19,17,24,63,1,74,3
18/09/2020,5,"0,1",1,15,7,16,48,"0,9",296,3
19/09/2020,2,"0,1",1,10,4,11,45,"1,1",248,4
20/09/2020,2,"0,1",1,8,3,9,57,"1,1",246,4
21/09/2020,3,"0,1",2,17,7,19,59,"1,6",65,3
22/09/2020,4,"0,2",2,17,9,20,60,"1,1",263,4
23/09/2020,6,"0,2",3,24,13,27,50,"0,6",255,3
24/09/2020,3,"0,1",1,14,13,14,40,"1,4",244,3
25/09/2020,2,"0,1",1,7,7,8,62,"1,6",281,4
26/09/2020,1,"0,1",1,4,3,5,60,"0,9",281,3
27/09/2020,2,"0,1",1,6,5,7,63,"1,2",256,4
28/09/2020,3,"0,1",3,14,8,18,57,"1,3",91,6
29/09/2020,2,"0,2",3,14,7,18,62,"0,9",30,5
30/09/2020,3,"0,2",5,18,6,25,55,1,143,6
01/10/2020,6,"0,2",2,16,21,19,56,"1,3",243,3
02/10/2020,4,"0,1",1,8,34,8,54,"2,4",247,4
03/10/2020,1,"0,2",1,5,3,6,57,"1,4",247,4
04/10/2020,2,"0,2",1,4,3,4,56,"1,5",246,5
05/10/2020,2,"0,1",2,14,5,15,43,"1,1",297,5
06/10/2020,3,"0,2",4,24,10,30,42,"0,9",254,4
07/10/2020,3,"0,2",5,23,9,29,38,"0,7",132,5
08/10/2020,3,"0,2",7,23,8,32,38,1,65,4
09/10/2020,3,"0,2",1,9,4,10,48,"1,4",89,3
10/10/2020,4,"0,2",1,11,5,12,48,"1,1",50,3
11/10/2020,1,"0,1",1,3,2,4,64,1,23,4
12/10/2020,2,"0,1",1,7,5,8,65,"0,9",250,5
13/10/2020,2,"0,2",3,17,10,20,42,1,251,5
14/10/2020,5,"0,2",9,25,12,38,29,"0,9",226,5
15/10/2020,1,"0,2",1,7,4,8,52,"0,9",346,4
16/10/2020,3,"0,2",2,13,7,16,61,"1,2",185,5
17/10/2020,4,"0,2",1,11,7,12,70,"1,3",322,6
18/10/2020,3,"0,2",1,11,6,11,70,"0,9",332,4
19/10/2020,3,"0,2",5,21,7,28,55,"0,8",84,5
20/10/2020,6,"0,2",8,19,9,30,52,"0,9",75,5
21/10/2020,8,"0,2",6,38,18,47,32,"0,7",36,3
22/10/2020,11,"0,2",10,40,21,54,15,"0,2",340,3
23/10/2020,2,"0,1",1,16,4,17,41,"1,1",247,3
24/10/2020,2,"0,1",1,9,3,10,52,"1,1",249,5
25/10/2020,2,"0,1",1,4,4,5,64,"1,8",243,3
26/10/2020,1,"0,1",1,8,3,8,56,"1,3",268,3
27/10/2020,2,"0,2",3,12,6,16,45,"1,2",248,5
28/10/2020,4,"0,2",3,21,14,26,38,"0,8",190,8
29/10/2020,5,"0,2",6,28,12,37,31,"0,6",11,5
30/10/2020,9,"0,2",8,26,13,38,38,"0,7",272,4
31/10/2020,10,"0,2",3,21,12,25,34,"0,7",157,4
01/11/2020,8,"0,2",3,20,11,25,34,"0,6",340,5
02/11/2020,10,"0,2",14,26,16,46,31,"0,8",65,5
03/11/2020,11,"0,1",3,18,16,22,46,"1,3",27,6
04/11/2020,2,"0,2",1,11,3,12,43,"3,1",49,4
05/11/2020,3,"0,2",1,7,4,8,41,"5,4",51,4
06/11/2020,6,"0,1",1,11,8,12,41,"3,6",51,3
07/11/2020,3,"0,2",1,12,4,13,40,"1,3",225,4
08/11/2020,3,"0,3",6,22,5,31,20,"0,4",245,4
09/11/2020,4,"0,2",4,22,8,27,24,"0,4",268,5
10/11/2020,4,"0,2",6,23,7,31,25,"0,5",16,5
11/11/2020,8,"0,3",9,28,12,41,26,"0,5",242,6
12/11/2020,8,"0,3",9,27,12,40,21,"0,6",330,4
13/11/2020,8,"0,2",5,27,13,33,27,"0,4",2,3
14/11/2020,14,"0,2",5,22,18,30,24,"0,3",235,5
15/11/2020,4,"0,2",1,11,6,12,30,1,236,5
16/11/2020,3,"0,1",4,19,6,24,24,"0,7",13,3
17/11/2020,6,"0,2",8,22,10,33,22,"0,6",273,5
18/11/2020,13,"0,1",2,23,18,26,29,"0,5",190,4
19/11/2020,15,,6,27,20,36,,"0,3",270,3
20/11/2020,5,,11,28,9,43,24,"0,3",251,3
21/11/2020,4,,1,16,6,17,34,"0,5",344,
22/11/2020,5,,2,13,6,15,42,"0,6",260,
23/11/2020,6,,7,22,8,32,35,"0,4",250,
24/11/2020,9,,7,26,12,36,24,"0,4",233,
25/11/2020,11,,9,26,15,39,27,"0,5",46,
26/11/2020,5,"0,1",1,18,6,18,48,"2,2",54,3
01/12/2020,9,"0,1",21,37,15,68,13,"0,5",216,3
02/12/2020,2,"0,1",1,19,5,19,40,"1,1",313,4
03/12/2020,3,"0,2",4,15,8,21,36,"1,3",243,5
04/12/2020,2,"0,2",1,13,4,14,48,"1,8",245,5
05/12/2020,2,"0,2",1,7,3,8,45,"0,9",282,6
06/12/2020,2,"0,1",1,3,3,3,52,"1,5",255,3
07/12/2020,1,"0,1",1,7,3,8,57,2,251,3
08/12/2020,1,"0,2",1,5,1,5,59,"1,2",276,4
09/12/2020,2,"0,1",2,13,4,15,41,1,249,3
10/12/2020,2,"0,1",1,14,4,15,41,"1,5",246,3
11/12/2020,1,"0,2",1,15,2,17,38,"1,4",248,3
12/12/2020,2,"0,2",1,14,4,16,54,"0,8",299,3
13/12/2020,4,"0,2",1,16,5,18,39,"0,7",260,4
14/12/2020,11,"0,2",31,38,16,86,7,"0,3",135,5
15/12/2020,4,"0,2",3,27,7,33,27,"0,8",241,5
16/12/2020,7,"0,2",33,43,14,95,14,"0,4",154,6
17/12/2020,7,"0,1",14,39,11,61,17,"0,4",296,3
18/12/2020,9,"0,2",29,42,16,86,13,"0,4",199,4
19/12/2020,9,"0,1",5,27,12,35,25,"0,8",243,3
20/12/2020,3,"0,1",2,21,4,25,35,"0,5",276,3
21/12/2020,8,"0,1",13,34,13,53,14,"0,5",248,5
22/12/2020,10,"0,1",12,34,13,53,12,"0,4",246,3
23/12/2020,12,"0,1",25,33,18,71,13,"0,4",205,5
24/12/2020,5,"0,2",11,26,8,44,26,"0,4",54,3
25/12/2020,1,"0,2",1,6,2,8,54,"1,2",321,3
26/12/2020,3,"0,2",4,15,5,21,46,"1,1",259,3
27/12/2020,3,"0,1",1,6,7,8,51,"2,3",240,3
28/12/2020,2,"0,1",1,10,5,12,57,"2,1",247,3
29/12/2020,2,"0,1",1,10,4,12,47,"1,3",239,4
30/12/2020,2,"0,1",1,16,4,18,41,"0,6",257,4
31/12/2020,3,"0,1",1,10,5,12,48,"1,4",236,4
