Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,
Estaci�n: 46250048-Val�ncia - Mol� del Sol,,,,,,,,,

FECHA,PM2.5,PM1,SO2,CO,NO,NO2,PM10,NOx,O3
,�g/m�,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2022,35,28,4,"0,4",6,18,45,26,23
02/01/2022,31,24,5,"0,4",12,21,39,39,16
03/01/2022,38,29,5,"0,4",17,25,48,51,17
04/01/2022,13,8,4,"0,2",4,14,21,20,45
05/01/2022,5,2,3,"0,2",2,10,8,13,63
06/01/2022,7,4,3,"0,2",4,13,9,19,56
07/01/2022,7,4,4,"0,2",7,13,11,24,52
08/01/2022,6,4,3,"0,1",3,12,9,16,50
09/01/2022,5,3,4,"0,1",2,4,9,7,63
10/01/2022,4,2,4,"0,1",2,11,7,14,51
11/01/2022,8,6,4,"0,2",4,20,11,26,47
12/01/2022,8,6,4,"0,2",4,21,11,27,37
13/01/2022,11,8,4,"0,2",11,22,14,38,38
14/01/2022,15,11,4,"0,2",4,19,19,25,37
15/01/2022,12,9,3,"0,2",3,16,16,20,47
16/01/2022,15,11,4,"0,2",4,16,19,23,44
17/01/2022,18,13,4,"0,2",9,28,23,42,36
18/01/2022,24,18,5,"0,2",21,34,31,66,29
19/01/2022,20,15,3,"0,2",9,28,26,41,37
20/01/2022,23,18,5,"0,2",12,30,30,49,30
21/01/2022,13,9,5,"0,2",10,22,17,37,35
22/01/2022,18,14,5,"0,3",5,20,23,29,34
23/01/2022,18,14,4,"0,2",2,13,23,15,46
24/01/2022,14,11,5,"0,2",5,17,17,24,43
25/01/2022,13,9,4,"0,2",3,21,16,26,49
26/01/2022,16,12,4,"0,2",11,24,20,40,36
27/01/2022,13,9,5,"0,2",17,33,18,59,27
28/01/2022,11,7,4,"0,2",10,31,15,46,34
29/01/2022,15,11,4,"0,2",8,28,19,39,35
30/01/2022,19,14,3,"0,3",7,27,25,36,29
31/01/2022,11,6,3,"0,2",9,27,19,41,38
01/02/2022,9,5,3,"0,2",15,28,13,51,46
02/02/2022,15,10,3,"0,2",20,37,20,68,23
03/02/2022,24,18,4,"0,3",28,35,32,78,20
04/02/2022,36,28,3,"0,2",18,36,46,64,28
05/02/2022,30,24,3,"0,2",15,37,38,60,25
06/02/2022,18,14,3,"0,2",10,29,23,45,34
07/02/2022,17,12,3,"0,2",19,39,23,69,30
08/02/2022,16,11,3,"0,2",17,42,21,68,28
09/02/2022,16,11,3,"0,2",10,36,20,52,44
10/02/2022,15,10,3,"0,1",7,26,20,37,47
11/02/2022,22,16,3,"0,2",10,26,29,41,36
12/02/2022,20,15,3,"0,2",2,19,26,22,49
13/02/2022,21,16,3,"0,2",3,17,27,22,39
14/02/2022,5,3,3,"0,1",1,8,8,9,65
15/02/2022,3,2,3,"0,1",2,10,6,13,57
16/02/2022,5,3,3,"0,1",1,11,9,13,55
17/02/2022,7,5,3,"0,1",2,15,10,19,48
18/02/2022,17,12,3,"0,2",17,26,23,53,37
19/02/2022,12,8,3,"0,1",1,9,16,11,62
21/02/2022,5,3,3,"0,1",6,9,9,18,64
22/02/2022,9,5,3,"0,2",13,22,13,42,42
23/02/2022,12,8,3,"0,2",8,20,16,32,44
24/02/2022,11,8,3,"0,2",5,21,15,29,43
25/02/2022,13,10,3,"0,2",1,18,16,20,39
26/02/2022,8,6,3,"0,1",1,12,11,14,48
27/02/2022,8,6,3,"0,1",1,10,11,12,50
28/02/2022,12,9,3,"0,2",5,20,16,28,44
01/03/2022,13,9,3,"0,1",3,19,17,23,46
02/03/2022,18,13,3,"0,2",9,18,26,32,47
03/03/2022,17,13,3,"0,1",5,18,23,25,47
04/03/2022,9,7,3,"0,1",1,13,12,15,57
05/03/2022,5,4,3,"0,1",1,13,8,15,52
06/03/2022,4,4,3,"0,1",1,3,6,5,70
07/03/2022,7,6,3,"0,1",1,12,9,14,57
08/03/2022,11,8,3,"0,1",,,14,,44
09/03/2022,14,10,3,"0,2",,,18,,43
10/03/2022,13,10,3,"0,1",,,17,,60
11/03/2022,19,15,3,"0,2",9,34,25,48,45
12/03/2022,7,5,3,"0,1",2,13,10,16,64
13/03/2022,9,7,4,"0,1",3,16,12,19,55
14/03/2022,9,6,5,"0,1",1,10,13,11,84
15/03/2022,15,9,3,"0,1",1,5,21,6,91
16/03/2022,11,7,4,"0,1",1,9,14,9,83
17/03/2022,10,7,4,"0,1",1,6,13,6,82
18/03/2022,13,10,4,"0,1",1,7,18,7,74
19/03/2022,20,15,4,"0,1",1,8,25,8,81
20/03/2022,13,9,4,"0,1",1,7,16,7,86
21/03/2022,5,3,,"0,1",,,8,,
22/03/2022,13,9,5,"0,1",2,13,17,15,
23/03/2022,11,8,5,"0,1",1,11,13,12,101
24/03/2022,9,7,5,"0,1",1,11,11,12,101
25/03/2022,18,14,5,"0,1",1,10,23,11,103
26/03/2022,14,11,4,"0,1",1,5,18,6,111
27/03/2022,16,12,5,"0,1",1,13,22,14,86
28/03/2022,19,14,7,"0,2",4,23,24,28,65
29/03/2022,20,14,7,"0,2",7,26,27,37,58
30/03/2022,18,13,7,"0,1",7,23,24,33,60
31/03/2022,6,4,5,"0,1",3,14,8,19,67
01/04/2022,4,2,4,"0,1",1,7,5,8,79
02/04/2022,2,2,4,"0,1",2,8,4,12,80
03/04/2022,3,2,4,"0,1",1,7,4,8,86
04/04/2022,7,5,5,"0,1",1,11,9,12,89
05/04/2022,7,5,5,"0,1",1,14,10,15,94
06/04/2022,6,5,6,"0,1",2,16,9,19,76
07/04/2022,6,4,5,"0,1",1,12,10,13,75
08/04/2022,5,3,4,"0,1",1,8,8,10,71
09/04/2022,5,3,3,"0,1",1,8,7,9,73
10/04/2022,8,5,3,"0,1",1,13,11,14,69
11/04/2022,9,6,3,"0,1",10,17,12,32,64
12/04/2022,12,8,3,"0,2",5,26,15,33,61
13/04/2022,9,7,3,"0,1",3,17,12,22,64
14/04/2022,7,4,3,"0,1",1,10,9,11,91
15/04/2022,8,6,,"0,1",1,14,12,15,82
16/04/2022,14,10,,"0,1",2,21,19,23,68
17/04/2022,12,9,,"0,1",1,13,16,14,75
18/04/2022,16,12,,"0,1",1,11,20,13,82
19/04/2022,14,11,,"0,1",1,13,18,15,94
21/04/2022,3,2,,"0,1",3,21,4,26,70
22/04/2022,8,5,,"0,1",2,22,10,24,59
23/04/2022,2,1,,"0,1",1,3,3,4,87
24/04/2022,2,2,,"0,1",1,6,3,7,85
25/04/2022,6,4,,"0,1",2,14,8,17,73
26/04/2022,6,4,,"0,1",4,22,8,27,66
27/04/2022,14,10,,"0,1",6,37,18,46,36
28/04/2022,18,14,,"0,1",2,25,23,28,53
29/04/2022,11,8,,"0,1",4,22,15,28,65
30/04/2022,13,9,,"0,1",2,19,17,21,70
01/05/2022,13,9,,"0,1",2,14,17,16,67
02/05/2022,16,12,,"0,1",6,17,20,26,75
04/05/2022,14,10,6,"0,1",1,18,18,19,84
05/05/2022,10,8,6,"0,1",3,18,13,22,59
06/05/2022,10,8,7,"0,1",5,27,14,34,55
07/05/2022,8,6,5,"0,1",1,15,11,17,70
08/05/2022,9,6,5,"0,1",1,12,12,14,88
09/05/2022,12,9,6,"0,1",5,22,16,29,71
10/05/2022,11,8,6,"0,1",2,22,15,25,76
11/05/2022,13,9,7,"0,1",8,26,17,38,65
12/05/2022,11,8,6,"0,1",3,20,15,24,71
13/05/2022,12,9,6,"0,1",5,20,16,28,60
14/05/2022,12,9,6,"0,1",2,19,16,22,67
15/05/2022,10,7,5,"0,1",1,13,13,14,84
16/05/2022,14,10,7,"0,1",6,30,19,39,59
17/05/2022,12,8,7,"0,1",5,24,16,31,63
18/05/2022,16,12,6,"0,1",2,18,21,21,65
19/05/2022,13,10,3,"0,1",2,13,17,15,75
20/05/2022,10,7,3,"0,1",3,20,14,24,65
21/05/2022,10,7,4,"0,1",3,27,13,32,60
22/05/2022,10,7,3,"0,1",1,17,14,19,75
23/05/2022,10,6,3,"0,1",1,16,15,17,76
24/05/2022,8,5,3,"0,1",1,10,12,12,77
25/05/2022,2,2,3,"0,1",1,15,3,17,66
26/05/2022,3,2,3,"0,1",2,18,5,21,66
27/05/2022,6,4,4,"0,1",5,27,9,34,62
28/05/2022,8,5,3,"0,1",1,18,11,20,78
29/05/2022,7,5,3,"0,1",1,10,10,12,85
30/05/2022,10,7,3,"0,1",1,16,13,17,76
31/05/2022,15,11,3,"0,1",5,15,19,22,71
01/06/2022,16,12,3,"0,1",3,15,20,20,68
02/06/2022,17,13,3,"0,1",3,13,21,17,65
03/06/2022,13,10,3,"0,1",1,7,16,7,79
04/06/2022,13,10,3,"0,1",2,8,17,10,62
05/06/2022,10,7,3,"0,1",1,7,13,8,64
06/06/2022,7,5,3,"0,1",3,11,9,14,73
07/06/2022,11,9,3,"0,1",3,11,14,14,65
08/06/2022,16,12,3,"0,1",3,17,20,21,73
09/06/2022,9,7,3,"0,1",2,13,13,16,61
10/06/2022,7,6,3,"0,1",4,17,10,23,51
11/06/2022,6,4,3,"0,1",2,15,8,18,57
12/06/2022,4,3,3,"0,1",1,16,6,18,67
13/06/2022,6,4,4,"0,1",6,21,8,31,67
14/06/2022,7,5,3,"0,1",6,19,9,28,62
15/06/2022,5,4,3,"0,1",2,19,7,23,76
16/06/2022,6,4,4,"0,1",4,26,8,32,65
17/06/2022,7,4,4,"0,1",4,24,11,29,62
18/06/2022,9,6,3,"0,1",2,14,13,17,81
19/06/2022,9,7,3,"0,1",1,5,12,7,90
20/06/2022,11,8,3,"0,1",2,12,14,15,77
21/06/2022,12,9,3,"0,1",2,18,15,21,58
22/06/2022,7,4,3,"0,1",1,13,11,15,66
23/06/2022,4,2,3,"0,1",1,17,7,19,69
24/06/2022,4,2,3,"0,1",1,6,8,8,79
25/06/2022,5,3,3,"0,1",1,9,6,10,83
26/06/2022,7,5,3,"0,1",1,4,9,5,83
27/06/2022,6,5,3,"0,1",1,11,8,13,63
28/06/2022,5,4,3,"0,1",2,12,7,15,64
29/06/2022,6,5,3,"0,1",2,15,8,18,61
30/06/2022,5,4,3,"0,1",2,11,7,13,73
01/07/2022,6,4,3,"0,1",2,10,8,12,63
02/07/2022,5,4,3,"0,1",1,8,7,11,66
03/07/2022,6,5,3,"0,1",1,11,8,13,72
04/07/2022,6,5,3,"0,1",2,16,8,19,68
05/07/2022,11,8,3,"0,1",1,8,14,10,76
06/07/2022,9,7,3,"0,1",2,13,11,16,74
07/07/2022,5,4,3,"0,1",2,15,7,17,72
08/07/2022,7,6,3,"0,1",2,19,10,22,79
09/07/2022,6,4,3,"0,1",1,10,8,12,90
10/07/2022,5,4,3,"0,1",1,8,7,10,91
11/07/2022,5,4,3,"0,1",2,19,7,23,78
12/07/2022,5,4,3,"0,1",2,25,7,27,64
13/07/2022,6,4,4,"0,1",3,20,8,26,70
14/07/2022,6,4,3,"0,1",3,16,7,22,69
15/07/2022,7,6,4,"0,1",5,27,10,34,52
16/07/2022,7,5,3,"0,1",1,17,10,19,78
17/07/2022,9,7,3,"0,1",1,14,12,16,81
18/07/2022,10,7,3,"0,1",3,20,13,24,76
19/07/2022,10,8,3,"0,1",2,19,13,22,77
20/07/2022,8,6,3,"0,1",2,12,10,14,69
21/07/2022,10,8,3,"0,1",3,16,13,20,56
22/07/2022,10,8,3,"0,1",6,17,13,26,62
23/07/2022,10,8,3,"0,1",1,8,12,9,71
24/07/2022,11,9,3,"0,1",1,7,15,9,74
25/07/2022,12,9,3,"0,2",5,20,15,27,59
26/07/2022,9,7,3,"0,1",2,11,12,14,67
27/07/2022,7,5,3,"0,1",2,11,9,14,62
28/07/2022,8,6,3,"0,1",3,11,10,15,63
29/07/2022,7,5,3,"0,1",2,8,9,11,71
30/07/2022,6,5,3,"0,1",1,5,8,7,71
31/07/2022,12,9,3,"0,1",1,9,15,11,70
01/08/2022,10,8,3,"0,1",2,14,12,17,69
02/08/2022,7,5,3,"0,1",2,16,9,20,71
03/08/2022,6,4,3,"0,1",2,15,8,19,77
04/08/2022,5,4,3,"0,1",2,13,9,16,82
05/08/2022,5,3,3,"0,1",2,13,7,16,77
06/08/2022,6,4,3,"0,1",2,10,7,12,80
07/08/2022,7,6,3,"0,1",1,6,10,8,77
08/08/2022,6,5,3,"0,1",2,11,9,14,84
09/08/2022,6,5,3,"0,1",2,11,8,13,86
10/08/2022,6,5,3,"0,1",2,11,8,14,87
11/08/2022,6,4,3,"0,1",2,17,8,20,79
12/08/2022,8,5,3,"0,1",2,20,11,24,75
13/08/2022,21,6,3,"0,1",1,8,46,11,73
14/08/2022,8,5,3,"0,1",1,12,12,14,70
15/08/2022,7,4,3,"0,1",1,10,9,12,78
16/08/2022,9,7,3,"0,1",1,11,12,13,90
17/08/2022,17,13,3,"0,2",2,15,23,19,77
18/08/2022,11,9,4,"0,2",2,22,15,25,68
19/08/2022,6,5,3,"0,1",2,18,8,21,69
20/08/2022,4,3,3,"0,1",1,12,5,14,71
21/08/2022,5,4,3,"0,1",1,16,7,18,67
22/08/2022,4,3,3,"0,1",2,17,6,21,61
23/08/2022,4,3,3,"0,1",2,15,5,18,50
24/08/2022,2,2,3,"0,1",2,10,3,13,59
25/08/2022,3,2,3,"0,1",2,11,4,14,57
26/08/2022,4,3,3,"0,1",2,14,5,17,54
27/08/2022,3,2,3,"0,1",1,10,4,12,70
28/08/2022,4,4,3,"0,1",1,9,6,11,77
29/08/2022,5,4,3,"0,1",2,14,7,17,67
30/08/2022,5,4,3,"0,1",2,12,6,14,61
31/08/2022,4,2,3,"0,1",2,11,7,14,62
01/09/2022,,,3,"0,1",3,15,,20,61
02/09/2022,,,3,"0,1",2,15,,18,56
03/09/2022,,,3,"0,1",2,15,,18,64
04/09/2022,,,3,"0,1",1,6,,8,71
05/09/2022,,,3,"0,1",3,15,,19,61
06/09/2022,,,4,"0,1",4,23,,30,58
07/09/2022,,,4,"0,1",5,26,,34,60
08/09/2022,,,3,"0,1",4,21,,28,60
09/09/2022,,,,"0,1",3,18,,23,67
10/09/2022,,,,"0,1",1,11,,14,64
11/09/2022,,,,"0,1",1,7,,10,61
12/09/2022,,,,"0,1",2,14,,18,51
13/09/2022,,,,"0,1",3,20,,26,24
14/09/2022,,,4,"0,1",4,16,,23,36
15/09/2022,,,3,"0,1",2,12,,15,61
16/09/2022,,,4,"0,1",3,15,,20,59
17/09/2022,,,3,"0,1",1,8,,11,60
18/09/2022,,,3,"0,1",1,10,,12,60
19/09/2022,,,3,"0,1",2,16,,20,55
20/09/2022,,,4,"0,1",4,19,,25,55
21/09/2022,,,3,"0,1",3,18,,23,57
22/09/2022,,,4,"0,1",4,18,,25,61
23/09/2022,,,3,"0,1",4,20,,26,52
24/09/2022,,,3,"0,1",2,12,,14,60
25/09/2022,9,5,3,"0,1",1,5,12,7,71
26/09/2022,9,5,5,"0,1",2,17,12,21,49
27/09/2022,7,4,6,"0,1",4,18,11,23,47
28/09/2022,6,3,8,"0,1",4,18,11,25,46
29/09/2022,6,3,6,"0,1",2,13,12,17,55
30/09/2022,5,2,3,"0,1",1,17,10,19,58
01/10/2022,6,3,3,"0,1",2,15,10,18,60
02/10/2022,6,3,4,"0,1",1,14,9,16,60
03/10/2022,13,7,4,"0,2",4,28,19,35,45
04/10/2022,17,10,4,"0,1",7,25,23,36,41
05/10/2022,12,7,4,"0,1",4,18,16,25,53
06/10/2022,13,8,4,"0,1",2,12,18,16,57
07/10/2022,16,10,3,"0,1",4,18,21,24,53
08/10/2022,17,10,4,"0,1",2,9,23,12,56
09/10/2022,20,12,4,"0,1",1,11,26,14,58
10/10/2022,24,14,4,"0,1",8,17,32,30,47
11/10/2022,20,12,4,"0,1",1,12,26,15,51
12/10/2022,,,4,"0,1",1,7,,9,54
13/10/2022,,,4,"0,2",4,18,,24,46
14/10/2022,10,7,3,"0,1",7,28,13,38,43
15/10/2022,18,12,3,"0,1",4,22,22,28,53
16/10/2022,19,13,3,"0,1",2,16,23,19,52
17/10/2022,20,14,3,"0,1",6,22,25,32,43
18/10/2022,20,13,3,"0,1",5,26,25,34,33
19/10/2022,28,19,3,"0,1",6,20,36,30,43
20/10/2022,32,22,3,"0,1",11,28,40,45,29
21/10/2022,15,10,3,"0,1",6,14,19,23,38
22/10/2022,12,8,3,"0,1",2,20,15,24,37
23/10/2022,24,16,4,"0,1",2,15,30,18,34
24/10/2022,13,9,3,"0,1",21,33,17,66,24
25/10/2022,18,12,4,"0,2",7,31,22,42,27
26/10/2022,28,19,4,"0,2",13,30,36,51,21
27/10/2022,29,20,4,"0,2",10,24,36,39,38
28/10/2022,32,22,3,"0,2",5,26,40,34,40
29/10/2022,32,22,3,"0,2",1,16,40,19,49
30/10/2022,26,18,3,"0,2",1,14,34,16,49
31/10/2022,29,20,3,"0,2",5,23,36,30,39
01/11/2022,24,17,3,"0,2",2,14,30,17,46
02/11/2022,21,14,4,"0,1",3,16,27,20,43
03/11/2022,16,11,3,"0,1",7,15,21,27,39
04/11/2022,3,2,3,"0,1",2,11,4,15,51
05/11/2022,6,4,3,"0,1",3,16,8,20,47
06/11/2022,6,4,4,"0,1",2,17,8,20,45
07/11/2022,9,6,,"0,1",5,26,11,33,39
08/11/2022,13,9,,"0,1",14,21,17,43,36
09/11/2022,7,4,,"0,1",5,18,9,26,36
10/11/2022,3,2,4,"0,1",5,14,4,21,42
11/11/2022,7,5,6,"0,1",4,20,8,25,34
12/11/2022,12,8,6,"0,1",1,8,14,10,58
13/11/2022,11,7,6,"0,1",3,11,14,15,35
14/11/2022,11,8,,"0,1",8,17,14,29,29
15/11/2022,7,5,,"0,1",1,9,9,11,45
16/11/2022,2,1,,"0,1",1,5,3,7,55
17/11/2022,2,1,,"0,1",1,4,3,6,50
18/11/2022,4,3,,"0,1",1,9,6,11,48
19/11/2022,3,2,4,"0,1",1,10,4,12,50
20/11/2022,4,3,4,"0,1",1,8,5,10,50
21/11/2022,3,2,3,"0,1",1,5,4,7,55
22/11/2022,3,2,3,"0,1",2,8,5,11,59
23/11/2022,3,2,3,"0,1",1,6,4,8,49
24/11/2022,5,4,3,"0,1",11,18,7,35,38
25/11/2022,5,3,3,"0,1",2,10,7,12,47
26/11/2022,9,7,3,"0,1",5,20,12,27,36
27/11/2022,14,10,3,"0,1",3,18,19,23,29
28/11/2022,6,4,3,"0,1",2,12,8,15,43
29/11/2022,3,2,3,"0,1",3,11,4,15,49
30/11/2022,9,6,3,"0,1",16,31,11,56,23
01/12/2022,8,5,3,"0,1",1,13,10,15,43
02/12/2022,10,7,3,"0,1",1,12,12,14,47
03/12/2022,14,10,3,"0,1",5,17,18,24,34
04/12/2022,20,14,3,"0,1",5,20,25,27,27
05/12/2022,21,14,3,"0,1",5,22,26,29,27
06/12/2022,33,23,3,"0,1",15,21,41,45,26
07/12/2022,35,25,3,"0,1",20,27,44,58,16
08/12/2022,49,34,3,"0,1",10,23,61,39,14
09/12/2022,11,8,3,"0,1",13,25,14,46,30
10/12/2022,4,3,3,"0,1",2,11,6,14,44
11/12/2022,7,5,3,"0,1",2,10,8,13,43
12/12/2022,18,12,3,"0,1",17,21,23,47,24
13/12/2022,5,3,3,"0,1",9,17,6,31,37
14/12/2022,7,5,3,"0,1",20,24,9,54,36
15/12/2022,5,3,3,"0,1",1,12,6,14,51
16/12/2022,6,4,3,"0,1",3,18,7,23,41
17/12/2022,17,12,3,"0,1",13,24,21,44,19
18/12/2022,16,11,3,"0,1",7,18,19,28,21
19/12/2022,18,12,3,"0,1",12,25,23,43,25
20/12/2022,14,9,4,"0,1",25,24,18,62,19
21/12/2022,4,3,3,"0,1",1,9,5,11,53
22/12/2022,7,5,3,"0,1",6,20,9,30,34
23/12/2022,5,3,3,"0,1",4,18,6,23,35
24/12/2022,19,13,3,"0,1",9,20,24,34,26
25/12/2022,12,9,3,"0,1",5,16,16,23,30
26/12/2022,18,13,3,"0,1",22,32,23,65,16
27/12/2022,16,11,4,"0,1",20,31,20,61,18
28/12/2022,26,18,4,"0,1",21,31,33,62,17
29/12/2022,10,7,4,"0,1",2,16,13,19,39
30/12/2022,8,5,4,"0,1",1,8,10,10,51
31/12/2022,19,13,4,"0,1",8,21,24,33,29
